               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089977,            0.073448,            0.065392,             0.26939,             0.30551,             0.10378,            0.033493,            0.067149,            0.071752,            0.053536,            0.070556,           0.0032716,           0.0032716
                   1,            0.064764,            0.052159,            0.049328,             0.47291,             0.45361,             0.28549,             0.10239,            0.052838,            0.043521,             0.04203,            0.040462,           0.0065115,           0.0065115
                   2,             0.06487,            0.044551,            0.041266,             0.46779,             0.56638,             0.44987,             0.19938,            0.059958,            0.038965,            0.035831,            0.010274,           0.0096572,           0.0096572
                   3,            0.059144,            0.040626,            0.036298,             0.40839,             0.64689,             0.40909,             0.19259,            0.047562,            0.038108,            0.030658,           0.0095757,           0.0095757,           0.0095757
                   4,             0.04931,            0.040083,            0.032021,             0.46372,             0.75667,             0.58741,             0.27599,            0.045099,            0.039192,            0.027331,           0.0095757,           0.0095757,           0.0095757
                   5,            0.042935,            0.038878,            0.028367,             0.74081,             0.63556,             0.66435,             0.39739,            0.031723,            0.035509,            0.023588,           0.0094343,           0.0094343,           0.0094343
                   6,            0.040633,            0.037837,            0.025648,             0.59964,              0.7884,             0.71167,             0.39317,            0.034831,            0.036142,            0.021287,           0.0092929,           0.0092929,           0.0092929
                   7,            0.036517,            0.036067,            0.023165,             0.63256,             0.72662,             0.73484,              0.4158,            0.031587,            0.033743,            0.019279,           0.0091514,           0.0091514,           0.0091514
                   8,            0.035349,            0.036318,            0.021157,              0.6391,             0.92759,              0.7992,              0.5495,            0.024533,            0.032993,            0.017496,             0.00901,             0.00901,             0.00901
                   9,            0.033558,            0.034831,            0.018833,             0.65054,              0.8601,             0.81845,             0.55266,            0.024558,             0.03293,            0.015913,           0.0088686,           0.0088686,           0.0088686
                  10,            0.031977,            0.035645,             0.01721,             0.80055,             0.82606,             0.83818,             0.61637,            0.022623,            0.032716,            0.014953,           0.0087271,           0.0087271,           0.0087271
                  11,            0.030127,            0.035319,             0.01664,              0.8219,             0.85917,             0.85121,             0.48085,            0.026262,            0.032396,            0.014122,           0.0085857,           0.0085857,           0.0085857
                  12,              0.0305,            0.034547,            0.015968,              0.8072,             0.86252,             0.86827,             0.58376,            0.025255,            0.031932,            0.013409,           0.0084443,           0.0084443,           0.0084443
                  13,            0.029738,            0.034439,            0.015111,             0.88675,             0.86424,             0.90147,             0.61388,            0.021712,            0.030642,            0.012334,           0.0083029,           0.0083029,           0.0083029
                  14,            0.028924,            0.032566,              0.0145,              0.8911,              0.8651,             0.90641,             0.65688,            0.022259,            0.030948,            0.011662,           0.0081614,           0.0081614,           0.0081614
                  15,            0.027563,            0.032342,            0.014184,             0.91831,             0.89222,             0.91696,             0.66473,             0.02027,            0.030519,            0.010642,             0.00802,             0.00802,             0.00802
                  16,             0.02764,            0.032471,            0.012511,             0.93994,             0.89409,             0.91813,             0.66047,            0.023065,            0.030976,           0.0097448,           0.0078786,           0.0078786,           0.0078786
                  17,            0.026112,            0.031947,            0.011997,             0.94561,             0.90185,             0.92489,             0.68185,            0.020951,            0.029965,           0.0089041,           0.0077371,           0.0077371,           0.0077371
                  18,            0.026725,            0.032338,            0.011237,             0.95185,             0.90634,             0.94012,               0.724,            0.020457,            0.029955,           0.0079993,           0.0075957,           0.0075957,           0.0075957
                  19,             0.02603,            0.032662,             0.01028,             0.91785,              0.9828,             0.96504,             0.71332,            0.019469,            0.029183,           0.0068441,           0.0074543,           0.0074543,           0.0074543
                  20,            0.025927,            0.032149,            0.009393,             0.95474,             0.97205,             0.97055,             0.71637,            0.020959,            0.030174,           0.0059491,           0.0073129,           0.0073129,           0.0073129
                  21,            0.024456,            0.031638,           0.0084211,             0.95378,             0.97336,             0.97306,             0.72239,            0.020546,            0.030091,           0.0054119,           0.0071714,           0.0071714,           0.0071714
                  22,            0.024954,            0.030556,           0.0079848,             0.95277,             0.96907,             0.97594,             0.76649,            0.019081,            0.029004,           0.0051538,             0.00703,             0.00703,             0.00703
                  23,            0.024324,            0.031637,           0.0074934,             0.96491,             0.97845,             0.97629,             0.74508,            0.020125,            0.028903,           0.0043479,           0.0068886,           0.0068886,           0.0068886
                  24,            0.024496,            0.030293,           0.0065953,              0.9666,             0.97721,             0.97824,             0.75733,            0.019166,             0.02785,           0.0043165,           0.0067471,           0.0067471,           0.0067471
                  25,            0.024447,            0.030151,            0.006496,             0.96307,             0.97535,             0.97969,             0.77291,            0.019657,            0.028036,           0.0043653,           0.0066057,           0.0066057,           0.0066057
                  26,            0.023598,             0.02958,            0.006175,              0.9635,             0.97762,             0.97985,              0.7734,             0.01917,            0.028069,           0.0040419,           0.0064643,           0.0064643,           0.0064643
                  27,            0.022981,            0.030286,           0.0058681,             0.96721,              0.9781,             0.98131,             0.77998,             0.01888,             0.02739,           0.0037583,           0.0063229,           0.0063229,           0.0063229
                  28,            0.022904,            0.031127,           0.0054876,             0.97048,             0.98233,             0.98104,             0.77966,            0.016968,            0.026603,           0.0035344,           0.0061814,           0.0061814,           0.0061814
                  29,            0.022165,            0.028418,           0.0051977,             0.97117,             0.98224,             0.98228,             0.78751,            0.017993,             0.02677,           0.0034554,             0.00604,             0.00604,             0.00604
                  30,            0.021675,            0.028905,           0.0052665,             0.97586,              0.9802,             0.98312,             0.80118,            0.017693,            0.025988,           0.0033165,           0.0058986,           0.0058986,           0.0058986
                  31,            0.021801,            0.029398,           0.0053733,             0.97307,             0.97783,              0.9838,             0.78903,             0.01798,            0.026372,           0.0034639,           0.0057571,           0.0057571,           0.0057571
                  32,            0.021435,            0.028333,           0.0051811,             0.97352,             0.98161,             0.98312,             0.81573,            0.016267,            0.025337,            0.003168,           0.0056157,           0.0056157,           0.0056157
                  33,            0.021459,            0.027333,           0.0050169,             0.97794,               0.979,             0.98379,              0.8134,            0.016924,            0.026232,           0.0030498,           0.0054743,           0.0054743,           0.0054743
                  34,            0.020904,            0.028289,           0.0046469,             0.97597,             0.98211,             0.98517,             0.83358,            0.015066,            0.024925,           0.0030928,           0.0053329,           0.0053329,           0.0053329
                  35,            0.020882,            0.028514,           0.0045731,              0.9769,              0.9825,             0.98447,             0.81615,            0.016387,            0.025803,           0.0029198,           0.0051914,           0.0051914,           0.0051914
                  36,            0.020408,            0.028165,            0.004641,             0.97347,             0.98214,             0.98439,             0.81601,            0.015078,            0.024877,           0.0028655,             0.00505,             0.00505,             0.00505
                  37,             0.02007,            0.028898,           0.0044398,             0.97613,             0.98102,             0.98704,              0.8201,            0.016246,            0.025039,           0.0028145,           0.0049086,           0.0049086,           0.0049086
                  38,            0.019381,            0.027274,           0.0045291,             0.97367,             0.98203,             0.98553,             0.81765,            0.015973,            0.025067,           0.0027055,           0.0047671,           0.0047671,           0.0047671
                  39,             0.01923,            0.026273,            0.004723,             0.97364,              0.9799,             0.98504,              0.8209,            0.015283,            0.024745,           0.0027429,           0.0046257,           0.0046257,           0.0046257
                  40,            0.018676,            0.027518,           0.0045121,             0.97709,             0.97823,             0.98552,             0.83867,            0.014555,            0.023978,           0.0027053,           0.0044843,           0.0044843,           0.0044843
                  41,            0.019054,            0.026768,            0.004097,             0.97827,             0.98339,             0.98734,             0.83754,            0.014865,             0.02387,           0.0023378,           0.0043429,           0.0043429,           0.0043429
                  42,            0.018903,            0.026419,           0.0038957,             0.97856,             0.98271,             0.98753,             0.84127,            0.015485,            0.024015,           0.0023788,           0.0042014,           0.0042014,           0.0042014
                  43,            0.018562,            0.027576,           0.0035116,             0.97906,              0.9851,             0.98812,              0.8446,            0.014169,            0.023122,           0.0023368,             0.00406,             0.00406,             0.00406
                  44,            0.018508,            0.025386,           0.0037569,              0.9775,              0.9837,             0.98708,             0.84897,            0.014208,            0.023718,           0.0022256,           0.0039186,           0.0039186,           0.0039186
                  45,             0.01813,            0.025452,           0.0036982,             0.97669,             0.98407,             0.98741,             0.84503,            0.013922,            0.023032,           0.0021916,           0.0037771,           0.0037771,           0.0037771
                  46,             0.01787,            0.025445,           0.0036086,             0.97666,             0.98272,              0.9875,             0.83685,             0.01522,            0.023719,           0.0021905,           0.0036357,           0.0036357,           0.0036357
                  47,            0.017695,             0.02589,           0.0033467,             0.97966,             0.98338,             0.98772,             0.82906,            0.014231,              0.0231,           0.0021834,           0.0034943,           0.0034943,           0.0034943
                  48,            0.017234,            0.026191,            0.003393,             0.98039,             0.98401,             0.98794,             0.84967,            0.013782,            0.022697,           0.0020951,           0.0033529,           0.0033529,           0.0033529
                  49,            0.017279,            0.025645,           0.0035595,             0.97924,             0.98727,             0.98771,             0.84431,            0.013825,            0.022594,           0.0019893,           0.0032114,           0.0032114,           0.0032114
                  50,            0.017063,            0.025767,           0.0032728,             0.98101,              0.9859,             0.98909,             0.85289,            0.013543,            0.023052,           0.0019357,             0.00307,             0.00307,             0.00307
                  51,            0.016846,            0.025774,           0.0031971,             0.98179,             0.98601,             0.98978,             0.85113,            0.013729,            0.022551,            0.001848,           0.0029286,           0.0029286,           0.0029286
                  52,            0.016456,            0.024612,            0.003027,             0.98058,             0.98576,             0.98999,             0.85508,            0.013522,            0.022209,           0.0018433,           0.0027871,           0.0027871,           0.0027871
                  53,            0.016233,            0.025856,           0.0029944,             0.98296,             0.98588,             0.98954,             0.85594,             0.01336,            0.022384,           0.0018268,           0.0026457,           0.0026457,           0.0026457
                  54,            0.016242,            0.025929,           0.0026505,             0.98465,             0.98498,             0.98959,             0.85548,            0.013267,            0.021589,           0.0017273,           0.0025043,           0.0025043,           0.0025043
                  55,            0.015808,            0.023775,           0.0031704,             0.98283,             0.98549,             0.98894,             0.85578,            0.013147,            0.021593,           0.0017212,           0.0023629,           0.0023629,           0.0023629
                  56,             0.01584,            0.024093,           0.0028138,             0.98314,             0.98817,             0.99051,             0.85831,            0.013127,            0.021558,           0.0016153,           0.0022214,           0.0022214,           0.0022214
                  57,            0.015645,            0.023997,           0.0025828,             0.98517,             0.98752,             0.99088,             0.86399,             0.01287,            0.021142,           0.0015541,             0.00208,             0.00208,             0.00208
                  58,            0.015111,            0.023225,           0.0029236,             0.98483,             0.98839,             0.99083,             0.86504,            0.012774,            0.021164,           0.0014974,           0.0019386,           0.0019386,           0.0019386
                  59,            0.015323,            0.024414,           0.0026159,             0.98587,             0.98866,             0.99092,             0.86154,            0.012733,            0.021439,           0.0014835,           0.0017971,           0.0017971,           0.0017971
                  60,            0.015058,            0.023679,           0.0026388,             0.98494,             0.98723,             0.99122,             0.86342,            0.012691,            0.021044,           0.0014288,           0.0016557,           0.0016557,           0.0016557
                  61,            0.014836,            0.022969,           0.0028074,             0.98414,             0.98934,             0.99097,             0.86299,            0.012539,            0.020878,           0.0013943,           0.0015143,           0.0015143,           0.0015143
                  62,            0.014743,            0.022798,           0.0024583,             0.98568,             0.98843,             0.99004,             0.86111,             0.01245,            0.020687,           0.0013725,           0.0013729,           0.0013729,           0.0013729
                  63,            0.014542,            0.024446,           0.0023621,             0.98376,             0.98904,             0.99014,             0.86515,            0.012503,            0.020482,            0.001316,           0.0012314,           0.0012314,           0.0012314
                  64,            0.014304,            0.023299,           0.0025468,             0.98431,              0.9899,             0.99081,             0.86851,            0.012397,            0.020497,           0.0012568,             0.00109,             0.00109,             0.00109
                  65,            0.014282,            0.023551,           0.0025821,             0.98529,             0.98991,             0.99119,             0.86643,            0.012296,            0.020222,           0.0012256,          0.00094857,          0.00094857,          0.00094857
                  66,            0.014136,            0.023263,           0.0023946,             0.98579,             0.98918,             0.99134,             0.87015,            0.012222,            0.020083,           0.0011908,          0.00080714,          0.00080714,          0.00080714
                  67,            0.014073,            0.022449,           0.0024203,             0.98719,              0.9884,             0.99162,             0.87021,            0.012215,            0.020009,           0.0011587,          0.00066571,          0.00066571,          0.00066571
                  68,            0.013914,            0.022453,           0.0023246,             0.98745,             0.98856,             0.99151,             0.87009,            0.012153,            0.019931,           0.0011284,          0.00052429,          0.00052429,          0.00052429
                  69,            0.013665,            0.022946,           0.0020729,              0.9876,             0.98876,             0.99173,             0.87365,            0.012016,            0.019658,           0.0011157,          0.00038286,          0.00038286,          0.00038286
